Sentences,label 
This was the best summer I have ever experienced,joy
I've found it but I've also found other tunnels,joy
Good night friends!!,joy
I hate fucking pills,anger
I had a blast in california hanging out with my family and friends,anger
I stayed at my best friends Ginny's house,joy
E1 I love ya EICON1,joy
My best friend her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday,joy
EICON1 Hailey recieved many gift cards (because I couldn't bring that much on the plane back home) and cute baby clothes and toys!!,joy
We had a wonderful yummy cake fruit and veggie treats,joy
My friend Misty brought her cute new baby girl Jamie!!,joy
She is so adorable!!,joy
We played fun baby games and caught up on some old times,joy
I had a blast thank you friend!!!!,anger
I miss you so much and can't wait to see Ginny Sister friend and my mom in a couple months!!!,joy
Love you,joy
The people that just have to send a hug and it puts a smile on your face,joy
They manage to save you're life without actually ever seeing you,joy
They don't care how pretty you are or what clothes you wear,joy
and I love them,joy
My life is falling apart and I don't mean online,sadness
I'm becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn I just feel like I'm compltely useless,anger
I started callin myself Aki-sama XD It's fun,joy
*flails* At least it's not the unable to say anything gig that I had with Erik,sadness
(Speaking of deep-fried shit did you know there was a town in Texas where they take a Snickers bar wrap it in bacon and then deep-fry it?),anger
Had a lovely birthday yesterday with Alex and Christine,joy
Been seeing so many good friends and refilling my cell-phone contacts,joy
Earlham is also making me feel more happy than I feel at home,joy
Oh and also I'm listening to an audio book of The Time-Traveler's Wife and loving it,joy
When someone fake throws something and you move out of instint so fast that you have easily been missed you get made fun of for it,joy
My manager also went to throw a fake punch,anger
The speed was pretty fast but I was too fast for him and had it blocked easy,joy
From now on to me Friday the thirteenth will mean the opposite of what it means to most people,fear
It must have been all your good lucks and have funs that did it,joy
Really starting to lose it,anger
Last night I watched Ricou Browning's bleak exploit actioner Mr No Legs on my laptop while watching GH Clouzot's terse relentless The Wages of Fear on the plasma,anger
My head is a WMD and my hard drive is naught but night soil,disgust
Sadness Dept: Just heard on NPR that Gillo Pontecorvo died,sadness
Click here for the New York Times' obit,surprise
He directed the seminal Battle of Algiers and shortly thereafter Burn! which starred Marlon Brando,anger
