Sentences,label 
This was the best summer I have ever experienced,joy
I've found it but I've also found other tunnels,joy
Good night friends!!,joy
I hate fucking pills,anger
I had a blast in california hanging out with my family and friends,anger
I stayed at my best friends Ginny's house,joy
E1 I love ya EICON1,joy
My best friend her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday,joy
EICON1 Hailey recieved many gift cards (because I couldn't bring that much on the plane back home) and cute baby clothes and toys!!,joy
We had a wonderful yummy cake fruit and veggie treats,joy
My friend Misty brought her cute new baby girl Jamie!!,joy
She is so adorable!!,joy
We played fun baby games and caught up on some old times,joy
I had a blast thank you friend!!!!,anger
I miss you so much and can't wait to see Ginny Sister friend and my mom in a couple months!!!,joy
Love you,joy
The people that just have to send a hug and it puts a smile on your face,joy
They manage to save you're life without actually ever seeing you,joy
They don't care how pretty you are or what clothes you wear,joy
and I love them,joy
My life is falling apart and I don't mean online,sadness
I'm becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn I just feel like I'm compltely useless,anger
I started callin myself Aki-sama XD It's fun,joy
*flails* At least it's not the unable to say anything gig that I had with Erik,sadness
(Speaking of deep-fried shit did you know there was a town in Texas where they take a Snickers bar wrap it in bacon and then deep-fry it?),anger
Had a lovely birthday yesterday with Alex and Christine,joy
Been seeing so many good friends and refilling my cell-phone contacts,joy
Earlham is also making me feel more happy than I feel at home,joy
Oh and also I'm listening to an audio book of The Time-Traveler's Wife and loving it,joy
When someone fake throws something and you move out of instint so fast that you have easily been missed you get made fun of for it,joy
My manager also went to throw a fake punch,anger
The speed was pretty fast but I was too fast for him and had it blocked easy,joy
From now on to me Friday the thirteenth will mean the opposite of what it means to most people,fear
It must have been all your good lucks and have funs that did it,joy
Really starting to lose it,anger
Last night I watched Ricou Browning's bleak exploit actioner Mr No Legs on my laptop while watching GH Clouzot's terse relentless The Wages of Fear on the plasma,anger
My head is a WMD and my hard drive is naught but night soil,disgust
Sadness Dept: Just heard on NPR that Gillo Pontecorvo died,sadness
Click here for the New York Times' obit,surprise
He directed the seminal Battle of Algiers and shortly thereafter Burn! which starred Marlon Brando,anger
(I screened it at VSU in '04 for my faculty advisors and they seemed fairly stunned by it,surprise
Ogro is a Franco-era policier and all the more grim for its muted tone and washed-out palette,anger
Get 'em and watch alongside Click or New York Minute,fear
On Dad And His Birthday,joy
The most wonderful gift that dad got this birthday was the love ofamitabh-abhishek09jpg his fans that he gets every year,joy
What a fabulous gift for dad on his birthday!,joy
Its a matter of pride for every Indian when a recognition like this comes to dad from a cinema-savvy country like France,joy
On Ram Gopal VarmaSholay,anger
I think its a wonderful idea to remake Sholay,joy
But I think Ramus Sholay will be a brilliant interpretation of Ramesh uncle (Sippy)s classic,joy
All I can say is knowing Ramus abilities from close quarters Im pretty sure even Ramesh uncle will be very proud of the film Ramu makes,joy
But the rest of it came across as a really angry drunken rant,disgust
If anyone wants to give me a call I'd be more than happy to answer it,joy
My howland friend Alyssa came with me and we danced the night awayMost of my friends went which was awsome,joy
im sitting here listeing to Hinder:Lips of an Angel,joy
which is one of the slow songs I got to dance with one of my friends Nick who graduated Mathews last yearHes awsome we danced alot together!Luvs!,joy
the dance was awsomeThe music was really cool,joy
too much rap and not enough rock for my taste but it was all good I was just happy getting out on the dance floor and getting my groove onlol,joy
I also got to see some howland people I once knew (Drew was one) That was pretty cool!,joy
they need a bigger dance floor lmao,joy
And after the dance Me Lyssa Kayla Matt Mary and Lauren all went bowling for about an hour cause lauren had to be home at a certain time,joy
then Lyssa me matt and Kayla couldn't find someplace good to eat that was open 1 in the morning so we all went in to giant eagle and bought junk food haha,joy
it was ammusingheheheBut yea overall I haven't had that much fun in a very long time!!,joy
im done telling you about my wonderful night lol,joy
Ill be puting pics up soon,anger
I can't believe she is FINALLY here!!!,joy
After the doctor on Tuesday I cleaned house played basketball and soccer with Levi then went to Amanda's to sit and talk with her while she moved in,joy
EICON1 Levi is really exciting to be a big brother he thinks she is sooooo cool,joy
I'll be putting more pictures up probably sometime this week so keep your eye out for the AMAZING GRACE!!!,anger
Right now I have my permit I can get my liscence in feb I have a car but I need a job in order to pay for my insurance so I cant drive it yet,joy
My life on the weekdays is tae kwon do its what I was born to do I love I there I love to teach people who want to be taught,joy
it was a tough game to play though,sadness
overall it was a pretty good tournament,joy
and about me I guess?,surprise
I'm always happy with those,joy
had a good chill time with team at dever's house,joy
I woke up once during the dream and was like oh crap no go back and managed to get back to it somehow,disgust
So in the dream there were times where we were both kinda unsure but it was still happy (for the both of us I hope),joy
So yeah I just had to share that,joy
RD Sweet and someone else while that lady was doing my hair,joy
I'm finally reading the amazing adventures of kavalier amp; clay,joy
I got a copy for my birthday,joy
I'm not very far along but I'm quite enjoying it,joy
I'm in Buena Vista at these hot springs and it should be awesome but I didn't sleep one little bit last night,anger
It seriously took my 4 hours to fall asleep for like one half-hour then 10 minutes in between each of those little episodes,sadness
I think the pain and awkwardness of attending your reception is worth seeing your face again,sadness
I'm sitting here in this lobby thing and crying and it's very embarassing but I can't help it because I just want you and me to run away and I want you to hold me for one whole night and rock me to sleep,sadness
Kiss my hair,joy
We get drinks after work too and the food I can eat is awesome,joy
Oh well its nothing too too bad but its making me nervous,fear
Truly horrifying footage of a Disney character orgy backstage at one of their shows,sadness
Well not so much an orgy but really rather amusing!,joy
I just stood there in shock!,anger
My gigantic art history text book is lying open on my bed revealing the Etruscan Art chapter I've been leafing through,joy
Various books on Classical Greek art are stacked about my room waiting to be used for my Classical Civ essay,joy
My parents were either really clever or entirely oblivious towards the humor of my name and my brother's: Jason Greek a mythic hero,joy
Amanda Latin the verb to love,joy
Another slight parallel I find amusing: Jason played Heracles in Alcestes last year just as I am playing Hippolyta in A Midsummer Night's Dream,joy
Sock n' Buskin is a really fun theatre company I'm liking my occaisional rehersal,joy
I spent a couple of hours on a trip last night/this morning in the early am,surprise
The light of the wanning moon was pale but after the rainfall of the evening the wetness gave the darkness a bright shimmering contrast of pale blue silver,sadness
In style of zen Buddhism I say that we are all wrong the monkey is god and apples are the truth,joy
Actually I think I dropped it in a bottomless puddle last night,fear
I'm broke like whoa but I'm still working,sadness
I've been talking to Laura on the phone almost daily and we're both very excited to see that little baby growing inside of her!,joy
I'm missing everyone in Wisconsin with the Blue Stars and sad that I had to leave early,sadness
Hope all is well in your worlds!,joy
Keep It Real And Live Good ,joy
Even though I had began participating more in the Catholic church while in junior high it wasn't until I were about 15 when I began to take a more active role in the church,joy
I remember being so impressed with the youth programs of the other parishes in my area and the stong bond that everyone had withen their own groups regardless of the social status of each person,anger
We began to help serve lunches at the local Loaves amp; Fishes volunteer work for the school at our parish offer lodging for other traveling youth groups,joy
I remember doing endless fundraisers for almost everything we did,anger
There were national events for Catholic youth that were able to attend religious retreats missionary work and myself and a very few others were selected to goto a Christian leadership program that was offered at the time,anger
See the whole time that I was trying to develop my own faith attending events with other parishes and all the work I did with my own group,joy
And sadly,sadness
Everyone has been given a gift in life,joy
Some people are quite talented in the arts some have awesome talent in athletics and some have been gifted with beauty,joy
Simply by just listening to them speak and more often just being in someones presence has been known to have the answer someone is looking for to just dawn on them,joy
How can being popular be a problem?,sadness
It was too much weight for me to carry my own plus everyone elses,joy
I am sitting here with head phones on and listening to music,joy
I can hear it thru the headphones and over the music im listening to,joy
I get a jolt of something REAL loud and it makes me jump,surprise
She is afraid to,fear
I really have alot of hope for my son,joy
I hope that he can learn to play well and I really do hope he is enjoying himself,joy
No matter the pain is may cause the rest of the family ,sadness
As long as he is happy,joy
Perhaps a nice hot bubble bath and a bottle of rum would help,anger
Vegas was a lot of fun,joy
The reception was a friggen blast!,anger
Champagne music and me trying to catch those damn flowers,anger
(didn't catch em by the by) Imagine this: My bro taking his neck tie off of marie's thigh with his teeth while girls just wanna have fun blasts in the background!,surprise
We went shooting in our regular spot out in the desert behind this mountain,anger
As Sean put it it's not like Vietnam where 4 of 5 americans will die so that really put it into perspective for me I know he'll be safe and come home in one piece but the scary thought still kinda lingers in the background of my mind,sadness
Everybody hates everybody everybody lies talks shit behind backs and treats people like shit,anger
My mother truly wants to murder my father and then gets pissed off when I don't agree with her,sadness
ya I'd say that's some fucked up shit,anger
=) It was the perfect end to a crappy day,joy
Basically I just want to focus on staying busy and staying happy,joy
So if you would like to contribute to the make me smile foundation let's party!,joy
after school I went home and got ready to go the the Homecoming parade,joy
that was sooo fun,joy
after the game we went to the dance where I had the best night of my life!!!,joy
I cant even explain in words how much fun I had,anger
I can honestly say that was the best Homecomg ever!!!!,joy
EICON1 at least I had a blast!!!!,anger
I dont know what else to say except that I love spending time w/ Joe,joy
And hanging out w/ Celeste and Matt was totally awesome 2!!!,anger
Love u all!!,joy
Exciting no?,joy
where did we leave off?,surprise
I'll start my narrative with a little anecdote about how small the world really is So I was going to work one day headed to one of the hostels around Berlin to pick people up for the tour and then bring them back to the Brandenburg Gate where the tour starts,anger
I had never been to this particular hostel before and as I entered and gave my little spiel about the tour and asked if anyone wanted to come along I was met not with a roar of enthusiasm from the hostel residents but rather a few dull glass-eyed looks and was generally ignored,joy
As I was preparing to leave one guy over at the computers yelled out for me to wait approached me and said hello,surprise
But it's certainly strange how you randomly run in to people you haven't seen in years in little hole-in-the-walls in Europe,surprise
Fun times,joy
And this particular piece was by far the best play I have EVER seen,joy
It was also incredibly simple cutting the normally huge cast down to only seven performers,anger
My next big adventure was a trip I took to London at the end of May I had never been before and had been planning on this trip for about six months,surprise
I was lucky enough to be able to stay with some friends to cut down on the cost and see a different side of London life,joy
It was sooooo much fun!,joy
The show was trash,sadness
Horrible,anger
Three hours of horror,anger
I wanted to leave at intermission but my date was really enjoying it (should have been a sign) so we stayed,surprise
I guess the one good thing I took from it was that I know now that the British are just as capable as we are of producing really awful work,surprise
That in itself was hilarious and made us love the show even more,joy
I also saw Les Miserables for the first time and it was fun,joy
next time you're in Wellington watch out for the Kiwi Commies!,fear
Now I have a confession to make: before the World Cup began I had actually never seen an entire soccer game from start to finish,surprise
The hordes of people would change from day to day for instance there was a three day period where we had over 90 000 Swedes in the city leading up to their dramatic defeat at the hands of Zeh Germans,fear
Loads of fun,joy
I didn't have tickets to any of the games but my group of friends would always go to a cafe or bar of the nationality that was playing to watch the match,fear
So to a French cafe for the France-Swiss game a Tapas bar when Spain played drank Caiprinhas with the passionate Brazilians etc It was a colorful and hilarious way to take part without fighting the crowds,joy
And let me tell you how good the World Cup was for Berlin as a city and Germany as a nation,joy
Another interesting element was the latent patriotism that emerged during the Cup,anger
You have to understand that the Germans have had a really difficult time with their national identity (and subsequently national pride or patriotism of any kind) since the Second World War,joy
And for what it's worth I agree with them it makes me nervous too,fear
People were genuinely excited about supporting their national team and taking pride in its accomplishments,joy
Now this newfound enthusiasm certainly was not shared by everyone,joy
But the general consensus after five weeks of debate was that the newfound national pride was a positive thing,joy
This camp about 40 miles north of Berlin was the second major camp to be opened in the Nazi system and was also used by the Russians after the war to intern former Nazi's and anyone else deemed an 'enemy of the state',fear
Given the dark history of such a place you can well imagine the difficulty of retelling that information and trying to put it into some kind of historical context,sadness
After a July of beautiful weather and great summer adventures I traveled with my good Australian friend Kurt to a theater festival in Cyprus,joy
The occasion was that a good friend of mine from North Texas Jessica was playing the title role in Medea at a theater festival there,joy
Now this was ridiculous amounts of fun!,anger
The city is a sweaty dirty polluted hole,disgust
Take your impression of a squalor-filled Mediterranean capital and add this to your image: 10 story apartment buildings everywhere in 100 degree heat all cooled by wall-mounted air conditioners aka swamp boxes,fear
