Sentences,label
See yaaaa tomarrow,joy
The tingling of my fingers,joy
The fog that replaces my brain,joy
Almost past the tv,joy
I can only imagine my face looks like those people who try to throw their soul away,joy
I just came back yesterday from California,joy
Thank you to everyone who made me feel at home,joy
Thank you so much for everyone who came,joy
Thank you everyone!,joy
Here are some pics!!!,joy
Thank you guys,joy
So many lies about who you're talking to where you're going what you're doing,joy
You don't know their middle name or the age of their sister,joy
Yet you know things about them that not even their parents know and it doesn't matter,joy
They are amazing,joy
I want to get to know him and know more about him,joy
We had one last semester and now we have one this semester,joy
The Charlotte Observer featured this article about deep-fried Coke a few days ago which is appaling enough by itself,joy
How awesome is this country?,joy
Visiting Bard was like a warm blanket,joy
Octoberfest was awesome,joy
Hellhammer did a lot of family time this event,joy
well sort of,joy
I didn't even mean to,joy
All I know was stuff is moving do this,joy
I even sometimes think I need more tablesI did get to pick up some tables during the rush,joy
I made 23% of what I sold last night,joy
Granted I did get stiffed once but thats okay because it happens,joy
I also got a ton of compliments including from a couple of strippers that weren't even mine,joy
This is how most friday and Saturday nights go,joy
What a ridiculously awesome time I had yesterday,joy
And Mr Dude has agreed to let me take some photos of him,joy
I didn't get around to it last night but I will and he is quite the little photogenic looking type,joy
Lowbrow/highbrow bifurcation anyone?,joy
To pencil in those few vacant nanosecs I read Dennis Perrin's Mr Mike: The Life and Work of Michael O'Donoghue,joy
Earlier I sped past the finale of Frank Rich's The Greatest Story Ever Sold,joy
Drat,joy
Strange),joy
Burn!,joy
is far more confounding but its flaws fail to obsure a provocative subtext,joy
Everything will soon become clear,joy
Here is a recent interview of Abhishek Bachchan and the man talks about his latest career developments his dad and of course the remake Sholay: Some excerpts from the MSN site,joy
But the Legion Of Honour comes a close second,joy
Its fantastic,joy
Earlier I believe Satyajit Ray got it,joy
Well great,joy
It just shows that Indian cinema is making inroads into the West,joy
It is high time the world stood up and recognised Indian cinema,joy
And they are doing precisely thatquot;,joy
We as a family are truly honoured,joy
Every filmmaker has the creative right to carry his vision into whatever area he chooses,joy
Therell always be naysayers,joy
Thats right only 2 more until showtime!!!,joy
The show is coming together awesome,joy
It will also be very technical as we work out kinks in the show with props and lighting,joy
I don't know if anyone read the blog I posted last night,joy
I stand by what I said in that I don't know if I'm going to be filming ever again,joy
It wasn't meant to be that way but it was,joy
I don't know when or if I will end up seeing anyone again but please know that I can understand if you don't want to see me again,joy
I really don't know how you put up with me,joy
Hey all !!,joy
lol,joy
there was only a few of us single people there but it was cool,joy
It was really cold tho,joy
but it didn't snow like it said it was suppost to but neutral way,joy
haha We did the Cha Cha slide and we were all so close together,joy
I just loved last night!!,joy
Ha!,joy
We were all in our homecoming dresses still,joy
yea well im gonna go now,joy
whenever I can,joy
Grace Danielle was born Wendsday October 11 2006 at 11:48 AM,joy
Shw weighed 7 lbs 5 oz and is 205 inches long,joy
They were like 4-5 minutes apart,joy
Except she dosen't look a THING like me Everyone seems to think she has alot of Daniel in her,joy
But anyways,joy
My name is ashley,joy
I go to archbishop ryan high school,joy
Im a senior,joy
I want to go to CCP when I graduate and take up a career in either nursing or ultrasound technician,joy
Everyone there is amazing its like my second home,joy
Thats about it if you want to know anything else about me just let me know,joy
luckily we won that one,joy
then yesterday the tournament in ajax,joy
it was pertty goood,joy
thought we coulda beat them,joy
annnd this morning we beat gl roberts,joy
I learned a lot about the game,joy
didn't get a lot of points but had a lot of assists =),joy
his dog was sooo cute,joy
hehe,joy
o'connor monday?,joy
anyway,joy
I'm kinda in that zone now,joy
I don't know why,joy
I didn't think the focus was there but it is there now,joy
however I do miss volleyball,joy
Photobucket - Video and Image Hosting,joy
live life with no regrets,joy
Even it maybe means I won't see you screen again,joy
Crossposting from my message board cuz I'm lazy,joy
So I went to spend the night at Irvine's Eye Patch's place,joy
I can't remember all the little details or they just don't make much sense,joy
o_o,joy
being fixed up,joy
That's odd though as I don't usually care for dressy occassions,joy
BUT HEY,joy
WHAT ARE DREAMS FOR?,joy
I totally didn't want to wake up I can say that,joy
XD,joy
XD I wish I remembered the details better,joy
;_;,joy
(I did see some Fuzors figurines for like,joy
WTF),joy
I've wanted to since I first heard about it,joy
I think it's just what I need right now-- something long and somewhat chewy,joy
I don't want to do anything here,joy
I don't want to go on a hike or anything at all,joy
I just want to go home,joy
I could have danced with you,joy
I miss you so much,joy
I've never missed anyone so much as you,joy
All that stuff I just have to imagine or dream up for now,joy
And I couldn't even dream last night so now I'm deprived of that,joy
I want to go home,joy
I miss you,joy
Well Im finishing up my first week at Jubans its really awesome,joy
I think I almost know deserts and Salads already and Im getting familiar with Fry,joy
They schedule me for Pantry whihc is like aps salads prep helper guy Im not exactly sure what my job is but I work the whole time Im there,joy
I ate some Bison yesterday it was boss,joy
I got a B on my German Lit Test,joy
messed up a Quiz in Biology which sucks,joy
The Baghavad Gita the divine dialogue between Arjuna and Krishna is also waiting to be re-read,joy
I've left my Apollodorus Library of Greek Mythology on my bedside table having just finished Jason and the Argonauts,joy
Two names of classical antiquity for two students studying,joy
Humanities,joy
